AAPB Unique Identifier (GUID),Type,Value,Timecode IN,Timecode OUT,Duration,dur_hh,dur_mm,dur_ss,seq_duration_SS,seq_duration_hh_mm_ss,Corpus,PBCore URL,AAPB URL,SonyCi ID,Filename,Source Org,Media Type,Title,Description,Genre,Creators,Source Format,Date Type,Date
cpb-aacip/15-18rbp7kf,Sound quality,audience clapping,00:48:29,00:48:59,00:00:23,1.0,2.0,17.0,8264,02:17:44,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_309-29p2nk1p.pbcore,http://americanarchive.org/catalog/cpb-aacip_309-29p2nk1p,cdf69b6df8914356b8048f3035529fac,cpb-aacip-309-29p2nk1p__1699.mp3,http://americanarchiveinventory.org,Title,Film - My Dog Tulip BN,No description available,Public Service Announcement,"OrderedDict([(u'creator', u'KGLT'), (u'creatorRole', u'Producer')])",Digital,,
cpb-aacip/15-18rbp7kf,Significant speaker voice,"Kennedy, John F.",00:49:00,00:57:09,00:57:09,,,,8264,02:17:44,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-nv9959ck83.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-nv9959ck83,8da2505788bb401e8a6bcb6fe7be1ed8,cpb-aacip-15-nv9959ck83__NOSN504_.h264.mp4,IMPORT_ID,Series,,"Dog Genius, Dolphin Behavior, Irene Pepperberg Profile, Octopus/Cuttlefish Intelligence",Science,,Digital,,
cpb-aacip/15-1615f4d4,Significant speaker voice,"Kennedy, John F.",00:00:05,00:31:22,00:26:46,0.0,31.0,47.0,10171,02:49:31,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_394-51vdnnsr.pbcore,http://americanarchive.org/catalog/cpb-aacip_394-51vdnnsr,5cc4d4d700a14474ac4a1ccd47426cd0,cpb-aacip-394-51vdnnsr.h264.mp4,http://americanarchiveinventory.org,Series,,"Fun, athletic dog events; revival of N. branch of Potomac River; sea horse
    exhibit and preservation.",Magazine,"OrderedDict([(u'creator', u'Maryland Public Television'), (u'creatorRole', u'Producer')])",Betacam Digital (Digi Beta),,
cpb-aacip/15-504xh96w,Sound quality,audience clapping,00:30:32,00:30:38,01:00:00?,0.0,59.0,31.0,13742,03:49:02,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_111-40xpp2nf.pbcore,http://americanarchive.org/catalog/cpb-aacip_111-40xpp2nf,dbe67410d3d444caae2f54f955d13235,cpb-aacip-111-40xpp2nf.h264.mp4,Arkansas Educational Television Network (AETN) Production Video Library (PVL),Series,,"This episode is a documentary on the history of Arkansas land and wildlife. The first section focuses in the early history of wildlife in the state. Topics include the near extinction of many animals in the early 1900s, the history of the Arkansas Game and Fishing Commission. The second sections focuses on the attempts to address the earlier problems. Topics include the restoration of the white tail deer population, the establishment of hunting seasons, the state of hunting and trapping in Arkansas in present day, buck deer only hunting versus both sex deer hunting, herd management, use of hunting dogs, illegal poaching, and public involvement in reporting poaching violations. The third section focuses on birds of prey. Topics include endangered birds of prey, attempts to restore Bald Eagle populations, and misconceptions about birds of prey. Throughout the episode, there are many interviews with experts, including Junior Moore, a hunter; Bob McAnally, a wildlife biologist; Harold Alexander, an ecologist; Ste",Documentary,"OrderedDict([(u'creator', u'Foley, Larry'), (u'creatorRole', u'Producer')])",3/4 inch videotape: U-matic,,
cpb-aacip/15-504xh96w,Significant speaker voice,"Kennedy, John F.",00:31:45,00:45:29,27:30:00,,,,13742,03:49:02,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_120-81wdc3mj.pbcore,http://americanarchive.org/catalog/cpb-aacip_120-81wdc3mj,a52604ffb9084ee59899997a977b7224,cpb-aacip-120-81wdc3mj.h264.mp4,,Series,,CS: Global Links (Bartley) Promoted NM: Phil Harris (back from Cuba) (ds) Pkg: Shopdogs (Interns) Long Credits Dogshow,News,,Betacam SP,,
cpb-aacip/15-k06ww77499,Significant speaker voice,"Kennedy, John F.",00:04:01,00:08:33,00:26:46,0.0,31.0,22.0,15624,04:20:24,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_394-257d840n.pbcore,http://americanarchive.org/catalog/cpb-aacip_394-257d840n,785dacb47a4c4d6ba1715b3f3fca6776,cpb-aacip-394-257d840n.h264.mp4,Maryland Public Television,Series,,"OrderedDict([(u'@descriptionType', u'Episode'), ('#text', u'This episode consists of three segments. The first segment, ""Spawning\n    Hopes"" focuses on the dwindling numbers of oysters in the Chesapeake Bay due\n    to several reasons (such as diseases) and efforts to place disease-resistant\n    oysters in the Chesapeake Bay. The second segment, ""Preying in the Garden"",\n    focuses on, and discusses the characteristics of, praying mantises. The\n    third segment, ""Search & Rescue"", focuses on search and rescue dogs\n    (such as how the dogs locate lost people and the training these dogs go\n    through)')])",Magazine,"Maryland Public Television|English, Michael|Stahley, Susanne C.|Lloyd, Robin|Dana, Carol",Betacam Digital (Digi Beta),,
cpb-aacip/15-5d8nc5sc0z,Significant speaker voice,"Kennedy, John F.",00:22:49,00:24:37,00:30:00?,1.0,15.0,30.0,20154,05:35:54,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_394-34sj4164.pbcore,http://americanarchive.org/catalog/cpb-aacip_394-34sj4164,586bdb6e10d446dfaa614ef352da7ac9,cpb-aacip-394-34sj4164.h264.mp4,http://americanarchiveinventory.org,Episode,Outdoors Maryland,"""RIVER OF AIR"" (GLIDING) ""THROUGH THE PACES"" (HUNT TRAILS) ""LIFE IN THE BREAKERS"" (BLUE FISH)",Nature,"OrderedDict([(u'creator', u'Maryland Public Television'), (u'creatorRole', u'Producer')])",Betacam,,
cpb-aacip/15-tt4fn1143f,Significant speaker voice,"Kennedy, John F.",00:00:52,00:04:33,00:30:00?,1.0,28.0,56.0,25490,07:04:50,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_394-289gj3gd.pbcore,http://americanarchive.org/catalog/cpb-aacip_394-289gj3gd,c8d9b240da7a44fbaa619091ffbcbd7b,cpb-aacip-394-289gj3gd.h264.mp4,http://americanarchiveinventory.org,Episode,Outdoors Maryland,"""shades of winter"" ""sport of kings"" ""run spot, run""",Nature,"OrderedDict([(u'creator', u'Maryland Public Television'), (u'creatorRole', u'Producer')])",Betacam SP,,
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",00:39:26,00:40:10,00:27:30,1.0,21.0,43.0,30393,08:26:33,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_120-51vdnm8r.pbcore,http://americanarchive.org/catalog/cpb-aacip_120-51vdnm8r,86ebbfb16611483788b273aeea9342b8,cpb-aacip-120-51vdnm8r.h264.mp4,,Series,,"CS: Pet Hoarding (Bartley) NM: Kathy Reck Animal Friends 4 dogs, 2 cats (Alicia & Elizabeth) MI: Super Croc (Chris",News,,Betacam SP,,
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Nixon, Richard",00:40:15,00:40:58,00:25:22,,,,30393,08:26:33,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_394-46d25fbf.pbcore,http://americanarchive.org/catalog/cpb-aacip_394-46d25fbf,f4bc9e6a94c640e3b51d3bab8e06df0f,cpb-aacip-394-46d25fbf.h264.mp4,http://americanarchiveinventory.org,Series,,"Rabbit Run: Following the rabbit ""to ground"" during a rousing chase between a bunny and beagles. A Lock on Beauty: Beauty and history of the C&O Canal. Room to Let: Purple Martins and those who love them.",Nature,"OrderedDict([(u'creator', u'Maryland Public Television'), (u'creatorRole', u'Producer')])",Betacam Digital (Digi Beta),issued,2007-07-01
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",00:40:59,00:41:23,01:30:00?,,,,30393,08:26:33,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_394-4947dm09.pbcore,http://americanarchive.org/catalog/cpb-aacip_394-4947dm09,2a0a3be794e14584bd4db809ff3202d9,cpb-aacip-394-4947dm09.h264.mp4,http://americanarchiveinventory.org,Series,Outdoors Maryland,Outdoors Maryland 15th Anniversary Pledge Special (no breaks),Magazine,"OrderedDict([(u'creator', u'Maryland Public Television'), (u'creatorRole', u'Producer')])",Betacam,,
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",00:41:43,00:42:16,00:26:26,,,,30393,08:26:33,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_322-08hdr98k.pbcore,http://americanarchive.org/catalog/cpb-aacip_322-08hdr98k,b51adcfa7ffa4ecf9172f7334df2384e,cpb-aacip-322-08hdr98k.h264.mp4,NOLA,Series,,"OrderedDict([(u'@descriptionType', u'Episode'), ('#text', u""The first segment is a tribute to Buck O'Neal, the Sarasota-based baseball\n    player who recently passed away; filmmaker Ken Burns speaks about his\n    relationship with O'Neal. The second segment features the artist residency\n    Hermitage Artist Retreat on Manasota Key, Florida. The third segment is\n    about Jack and Dee Boenan, a married couple who work writing real-time\n    captioning of television programs for the hearing impaired. The fourth\n    segment is about a highly intelligent Jack Russell Terrier named Maggie and\n    her owner Jesse Treff."")])",Magazine,"Conely, Jack|Noble, Jen",Betacam Digital (Digi Beta),,
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Nixon, Richard",00:42:17,00:42:34,00:59:00,,,,30393,08:26:33,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-v40js9j09t.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-v40js9j09t,61eaf9060dd54e448ed13e35e54ff2f3,cpb-aacip-15-v40js9j09t__20130927tw4pm_.mp3,IMPORT_ID,Series,The World,"The World, 09/27/2013 4PM",News,,Digital file,,
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",00:42:36,00:43:02,00:59:00,,,,30393,08:26:33,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-qf8jd4qd0x.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-qf8jd4qd0x,3f9aebdf741f4fd983bf93fbcf4b9f97,cpb-aacip-15-qf8jd4qd0x__20130926TW_.mp3,IMPORT_ID,Series,The World,"The World, 09/26/2013",News,,Digital file,,
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Nixon, Richard",00:43:37,00:44:04,00:59:00,,,,30393,08:26:33,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-kp7tm72m9s.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-kp7tm72m9s,4d7eb974c3234cf3ad87608814fab8ae,cpb-aacip-15-kp7tm72m9s__20130927tw8pm_.mp3,IMPORT_ID,Series,The World,"The World, 09/27/2013 8PM",News,,Digital file,,
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",00:44:05,00:44:42,00:59:00,,,,30393,08:26:33,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-fx73t9dv8q.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-fx73t9dv8q,3a0b5c7b7d204b36ba4d2ed71a405934,cpb-aacip-15-fx73t9dv8q__20130927tw5pm_.mp3,IMPORT_ID,Series,The World,"The World, 09/27/2013 5PM",News,,Digital file,,
cpb-aacip/15-3f4kk94b5t,Sound quality,audience clapping,00:32:18,00:32:39,00:59:00,1.0,31.0,15.0,35868,09:57:48,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-kw57d2qx71.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-kw57d2qx71,93c3c35ea3884a149ec2536a07400655,cpb-aacip-15-kw57d2qx71__20140306tw_.mp3,IMPORT_ID,Series,The World,"The World, 03/06/2014",News,,Digital file,,
cpb-aacip/15-3f4kk94b5t,Significant speaker voice,"Kennedy, John F.",00:32:40,00:46:43,00:59:00,,,,35868,09:57:48,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-0z70v8b048.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-0z70v8b048,3e56e3904d5447128f620f5c0d9a23bc,cpb-aacip-15-0z70v8b048__20131204TW_.mp3,IMPORT_ID,Series,The World,"The World, 12/04/2013",News,,Digital file,,
cpb-aacip/15-5717m04383,Significant speaker voice,"Kennedy, John F.",00:04:01,00:08:33,00:59:00,1.0,26.0,0.0,41028,11:23:48,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-w66930pp3z.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-w66930pp3z,3d6caa30f72a401295203361003ba177,cpb-aacip-15-w66930pp3z__20131203TW_.mp3,IMPORT_ID,Series,The World,"The World,12/03/2013",News,,Digital file,,
cpb-aacip/15-1c1td9n728,Significant speaker voice,"Kennedy, John F.",00:08:09,00:10:38,00:59:00,1.0,31.0,9.0,46497,12:54:57,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-rf5k931x0c.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-rf5k931x0c,4c6d18daf36f4b82a543fb1be287849f,cpb-aacip-15-rf5k931x0c__20131205TW8pm_.mp3,IMPORT_ID,Series,The World,"The World, 12/05/2013 8PM",News,,Digital file,,
cpb-aacip/15-xw47p8tt0m,Significant speaker voice,"Kennedy, John F.",00:08:09,00:10:38,00:59:00,1.0,3.0,6.0,50283,13:58:03,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-mp4vh5d47n.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-mp4vh5d47n,7e3f5f3816d1442cbbd01dad34e08d62,cpb-aacip-15-mp4vh5d47n__20131205TW4pm_.mp3,IMPORT_ID,Series,The World,"The World,12/05/2013 4PM",News,,Digital file,,
cpb-aacip/15-jq0sq8qr1w,Significant speaker voice,"Kennedy, John F.",00:01:35,00:01:44,00:59:00,1.0,30.0,39.0,55722,15:28:42,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-gx44q7rc6k.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-gx44q7rc6k,7accef3104f7449ebd947b316e099b0e,cpb-aacip-15-gx44q7rc6k__20131209TW_.mp3,IMPORT_ID,Series,The World,"The World,12/09/2013",News,,Digital file,,
cpb-aacip/15-9542j827,Significant speaker voice,"Kennedy, John F.",00:19:53,00:21:23,00:59:00,,,,55722,15:28:42,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-c824b2xr96.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-c824b2xr96,ea6ed249f16a48b6adb0d3870eb37fb8,cpb-aacip-15-c824b2xr96__20131206TW_.mp3,IMPORT_ID,Series,The World,"The World, 12/06/2013",News,,Digital file,,
cpb-aacip/15-qr4nk36f8b,Significant speaker voice,"Kennedy, John F.",00:00:48,00:02:48,00:59:00,1.0,38.0,27.0,61629,17:07:09,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-7h1dj5908g.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-7h1dj5908g,8b2eb798e0df416f88ecc03e4a8eb198,cpb-aacip-15-7h1dj5908g__20131211TW_.mp3,IMPORT_ID,Series,The World,"The World,12/11/2013",News,,Digital file,,
cpb-aacip/15-9c6rx93d5t,Significant speaker voice,"Kennedy, John F.",00:03:22,00:04:08,00:59:00,1.0,31.0,55.0,67144,18:39:04,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-3r0pr7n760.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-3r0pr7n760,a1438020cd03482e9ef73cae647f5a19,cpb-aacip-15-3r0pr7n760__20131210TW_.mp3,IMPORT_ID,Series,The World,"The World, 12/10/2013",News,,Digital file,,
cpb-aacip/43-25x69zp3,Significant speaker voice,"Kennedy, John F.",00:02:18,00:08:46,00:59:00,0.0,52.0,56.0,70320,19:32:00,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-0000000g2g.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-0000000g2g,34ae4ae7a10949f3b731d2b6142832de,cpb-aacip-15-0000000g2g__20131216TW_.mp3,IMPORT_ID,Series,The World,"The World,12/16/2013",News,,Digital file,,
cpb-aacip/15-sf2m61c214,Significant speaker voice,"Kennedy, John F.",00:00:16,00:01:33,00:59:00,0.0,1.0,33.0,70413,19:33:33,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-v69862c513.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-v69862c513,7a917ec0c86548558f647b5fe24d8e78,cpb-aacip-15-v69862c513__20131212TW_.mp3,IMPORT_ID,Series,The World,"The World, 12/12/2013",News,,Digital file,,
cpb-aacip/15-3t9d50g03h,Significant speaker voice,"Kennedy, John F.",00:02:39,00:03:42,00:59:00,0.0,59.0,8.0,73961,20:32:41,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-qf8jd4qc9f.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-qf8jd4qc9f,c8eca9fc8dff4a05adbd3aac6e46e827,cpb-aacip-15-qf8jd4qc9f__20131219TW_.mp3,IMPORT_ID,Series,The World,"The World,12/19/2013",News,,Digital file,,
cpb-aacip/15-3t9d50g03h,Significant speaker voice,"Kennedy, John F.",00:04:30,00:05:49,00:59:00,,,,73961,20:32:41,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-kp7tm72m8g.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-kp7tm72m8g,742f03594950408ab32aee1cb0f6d7b5,cpb-aacip-15-kp7tm72m8g__20131217TW_.mp3,IMPORT_ID,Series,The World,"The World,12/17/2013",News,,Digital file,,
cpb-aacip/15-3t9d50g03h,Significant speaker voice,"Kennedy, John F.",00:07:13,00:08:12,00:59:00,,,,73961,20:32:41,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-g15t728106.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-g15t728106,04ddcc54b1c14010a62f79300759faf7,cpb-aacip-15-g15t728106__20131224TW_.mp3,IMPORT_ID,Series,The World,"The World, 12/24/2013",News,,Digital file,,
cpb-aacip/15-3t9d50g03h,Significant speaker voice,"Kennedy, John F.",00:09:32,00:10:24,00:59:00,,,,73961,20:32:41,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-b853f4m79z.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-b853f4m79z,fb457b056a5c480f82b4abeb74b3e750,cpb-aacip-15-b853f4m79z__20131223tw_.mp3,IMPORT_ID,Series,The World,"The World,12/23/2013",News,,Digital file,,
cpb-aacip/15-057cr5nc5k,Significant speaker voice,"Kennedy, John F.",00:02:39,00:03:42,00:59:00,0.0,59.0,25.0,77526,21:32:06,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-f18sb3xh1t.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-f18sb3xh1t,259b7dbc165f4ddaa45586bd0eb75d65,cpb-aacip-15-f18sb3xh1t__20140312TW_.mp3,IMPORT_ID,Series,The World,"The World, 03/12/2014",News,,Digital file,,
cpb-aacip/15-057cr5nc5k,Significant speaker voice,"Kennedy, John F.",00:04:30,00:05:49,00:59:00,,,,77526,21:32:06,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-5h7br8mz6p.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-5h7br8mz6p,ff0a80395dee408696992e7fc6e01ec0,cpb-aacip-15-5h7br8mz6p__20140318TW_.mp3,IMPORT_ID,Series,The World,"The World, 03/18/2014",News,,Digital file,,
cpb-aacip/15-057cr5nc5k,Significant speaker voice,"Kennedy, John F.",00:07:13,00:08:12,00:59:00,,,,77526,21:32:06,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-1r6n01063k.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-1r6n01063k,028ef4efc4b14c9f98968e151ce323d6,cpb-aacip-15-1r6n01063k__20140317tw_.mp3,IMPORT_ID,Series,The World,"The World, 03/17/2014",News,,Digital file,,
cpb-aacip/15-057cr5nc5k,Significant speaker voice,"Kennedy, John F.",00:09:32,00:10:24,00:59:00,,,,77526,21:32:06,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-x05x63bw3b.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-x05x63bw3b,e3ada8d63a4446dd9a75d34bbd57e5f3,cpb-aacip-15-x05x63bw3b__20140320TW_.mp3,IMPORT_ID,Series,The World,"The World, 03/20/2014",News,,Digital file,,
cpb-aacip/15-pc2t43j82z,Significant speaker voice,"Kennedy, John F.",00:01:16,00:02:05,00:59:00,1.0,2.0,43.0,81289,22:34:49,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-s756d5q42h.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-s756d5q42h,a9849765a45c4179ab1deb86c6089326,cpb-aacip-15-s756d5q42h__20140319TW_.mp3,IMPORT_ID,Series,The World,"The World, 03/19/2014",News,,Digital file,,
cpb-aacip/15-pc2t43j82z,Significant speaker voice,"Kennedy, John F.",00:02:40,00:03:42,00:59:00,,,,81289,22:34:49,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-c24qj78g0t.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-c24qj78g0t,152ebeded661424f8b1acbac0037ccdb,cpb-aacip-15-c24qj78g0t__20131227tw_.mp3,IMPORT_ID,Series,The World,"The World, 12/27/2013",News,,Digital file,,
