AAPB Unique Identifier (GUID),Type,Value,Timecode IN,Timecode OUT,File Duration,SonyCi ID,Filename
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Nixon, Richard",2617,2644,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",2645,2682,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4
cpb-aacip/15-3f4kk94b5t,Sound quality,audience clapping,1938,1959,5474.592000,c6a2d00f728f46bdaf20a346469f016f,cpb-aacip-15-3f4kk94b5t__21697-2009_01_11_.h264.mp4
cpb-aacip/15-3f4kk94b5t,Significant speaker voice,"Kennedy, John F.",1960,2803,5474.592000,c6a2d00f728f46bdaf20a346469f016f,cpb-aacip-15-3f4kk94b5t__21697-2009_01_11_.h264.mp4
cpb-aacip/15-5717m04383,Significant speaker voice,"Kennedy, John F.",241,513,5160.334000,500c0cc5f7134c5894bbf37b52eb4746,cpb-aacip-15-fb4wh2dk0q__25316-2010_09_17_.h264.mp4
cpb-aacip/15-1c1td9n728,Significant speaker voice,"Kennedy, John F.",489,638,5468.996000,4c11973aa9aa4a49b4d16cb5d1a0de9b,cpb-aacip-15-1c1td9n728__3829-2007_09_17_.h264.mp4
cpb-aacip/15-xw47p8tt0m,Significant speaker voice,"Kennedy, John F.",489,638,3786.223000,bf8415d0ee754779b3b0062197d43d0c,cpb-aacip-15-xw47p8tt0m__3829-2007_09_17_.h264.mp4
cpb-aacip/15-jq0sq8qr1w,Significant speaker voice,"Kennedy, John F.",95,104,5439.159000,f6e6191cd43b48c6b3d0f179c9e1d240,cpb-aacip-15-jq0sq8qr1w__3825-2007_06_02_.h264.mp4
cpb-aacip/15-9542j827,Significant speaker voice,"Kennedy, John F.",1193,1283,4151.112000,d2aef1bf15724841811da431cd210c0d,cpb-aacip-15-9542j827__111477_.mp3
cpb-aacip/15-qr4nk36f8b,Significant speaker voice,"Kennedy, John F.",48,168,5907.157000,8e31d2428ed54d52ad839032c0ff4237,cpb-aacip-15-qr4nk36f8b__25886-2010_09_.h264.mp4
cpb-aacip/15-9c6rx93d5t,Significant speaker voice,"Kennedy, John F.",202,248,5515.483000,5d999bd4654a45a68d4212eccdfe377b,cpb-aacip-15-9c6rx93d5t__4082-2008_01_21_.h264.mp4
cpb-aacip/43-25x69zp3,Significant speaker voice,"Kennedy, John F.",138,526,3175.632000,1fd8207bb5454694a86ec78beec97a61,cpb-aacip-43-25x69zp3.mp3
cpb-aacip/15-sf2m61c214,Significant speaker voice,"Kennedy, John F.",16,93,92.763719,4deadca2bfff4ab78ac1484d9df2c380,cpb-aacip-15-sf2m61c214__barcode9544_clip1_.h264.mp4
cpb-aacip/15-3t9d50g03h,Significant speaker voice,"Kennedy, John F.",159,222,3558.064000,7268c889d1804a77badae7dc5365093b,cpb-aacip-15-3t9d50g03h__Barcode308336_.h264.mp4
cpb-aacip/15-3t9d50g03h,Significant speaker voice,"Kennedy, John F.",270,349,3558.064000,7268c889d1804a77badae7dc5365093b,cpb-aacip-15-3t9d50g03h__Barcode308336_.h264.mp4
cpb-aacip/15-3t9d50g03h,Significant speaker voice,"Kennedy, John F.",433,492,3558.064000,7268c889d1804a77badae7dc5365093b,cpb-aacip-15-3t9d50g03h__Barcode308336_.h264.mp4
cpb-aacip/15-3t9d50g03h,Significant speaker voice,"Kennedy, John F.",572,624,3558.064000,7268c889d1804a77badae7dc5365093b,cpb-aacip-15-3t9d50g03h__Barcode308336_.h264.mp4
cpb-aacip/15-057cr5nc5k,Significant speaker voice,"Kennedy, John F.",159,222,3565.216000,f9622eb3a79d4e508f8df380ff2ed876,cpb-aacip-15-057cr5nc5k__barcode261635_.h264.mp4
cpb-aacip/15-057cr5nc5k,Significant speaker voice,"Kennedy, John F.",270,349,3565.216000,f9622eb3a79d4e508f8df380ff2ed876,cpb-aacip-15-057cr5nc5k__barcode261635_.h264.mp4
cpb-aacip/15-057cr5nc5k,Significant speaker voice,"Kennedy, John F.",433,492,3565.216000,f9622eb3a79d4e508f8df380ff2ed876,cpb-aacip-15-057cr5nc5k__barcode261635_.h264.mp4
cpb-aacip/15-057cr5nc5k,Significant speaker voice,"Kennedy, John F.",572,624,3565.216000,f9622eb3a79d4e508f8df380ff2ed876,cpb-aacip-15-057cr5nc5k__barcode261635_.h264.mp4
cpb-aacip/15-pc2t43j82z,Significant speaker voice,"Kennedy, John F.",76,125,3762.980000,aac5c777379646d185401720c5e837c8,cpb-aacip-15-pc2t43j82z__Barcode23844_.h264.mp4
cpb-aacip/15-pc2t43j82z,Significant speaker voice,"Kennedy, John F.",160,222,3762.980000,aac5c777379646d185401720c5e837c8,cpb-aacip-15-pc2t43j82z__Barcode23844_.h264.mp4
cpb-aacip/15-pc2t43j82z,Significant speaker voice,"Kennedy, John F.",247,263,3762.980000,aac5c777379646d185401720c5e837c8,cpb-aacip-15-pc2t43j82z__Barcode23844_.h264.mp4
cpb-aacip/15-0c4sj19k9z,Significant speaker voice,"Kennedy, John F.",1,42,49.969342,27554ecf6ae948279f0b34fcdddcb800,cpb-aacip-15-0c4sj19k9z__ABC64215_.h264.mp4
cpb-aacip/15-qv3bz61h9c,Significant speaker voice,"Kennedy, John F.",239,302,3562.267000,1f510d6de3074394aaeb9bf23109b7f7,cpb-aacip-15-qv3bz61h9c__Barcode19240_.h264.mp4
cpb-aacip/15-qv3bz61h9c,Significant speaker voice,"Kennedy, John F.",491,576,3562.267000,1f510d6de3074394aaeb9bf23109b7f7,cpb-aacip-15-qv3bz61h9c__Barcode19240_.h264.mp4
cpb-aacip/15-qv3bz61h9c,Significant speaker voice,"Kennedy, John F.",1423,1557,3562.267000,1f510d6de3074394aaeb9bf23109b7f7,cpb-aacip-15-qv3bz61h9c__Barcode19240_.h264.mp4
cpb-aacip/15-m03xs5jq09,Significant speaker voice,"Kennedy, John F.",1,169,168.762630,10580dd64deb4961b554c8e8bfedc607,cpb-aacip-15-m03xs5jq09__CBS150753_.h264.mp4
cpb-aacip/15-xg9f47h882,Significant speaker voice,"Kennedy, John F.",9,96,97.012971,990a0d67168448f6903c7423c9332240,cpb-aacip-15-xg9f47h882__CBS175-522_.h264.mp4
cpb-aacip/15-p26pz51t8d,Significant speaker voice,"Kennedy, John F.",1,22,21.478458,2ea0abacfdfc42bfb982e5dfc3b236ba,cpb-aacip-15-p26pz51t8d__CBSNS730426X_.h264.mp4
cpb-aacip/15-qn5z60c776,Significant speaker voice,"Kennedy, John F.",129,211,303.415147,ba970430f27e434db9dce21af8b7d860,cpb-aacip-15-qn5z60c776__CBS175-874_.h264.mp4
cpb-aacip/15-qn5z60c776,Significant speaker voice,"Kennedy, John F.",222,303,303.415147,ba970430f27e434db9dce21af8b7d860,cpb-aacip-15-qn5z60c776__CBS175-874_.h264.mp4
cpb-aacip/15-579s5143,Significant speaker voice,"Kennedy, John F.",356,385,899.496979,c39a7f97f3cc45edacfdc2e4ead3f382,cpb-aacip-15-579s5143.mp3
cpb-aacip/15-13905z9r,Significant speaker voice,"Johnson, Lyndon",161,283,348.360979,918f39b848f342ed99f0e699cf1d1532,cpb-aacip-15-13905z9r.mp3
cpb-aacip/15-74qjqhcz,Significant speaker voice,"Johnson, Lyndon",393,1335,1806.792979,88dd9f6ed5a648b29e174af5d8599924,cpb-aacip-15-74qjqhcz.mp3
cpb-aacip/15-74qjqhcz,Sound quality,audience clapping,1336,1357,1806.792979,88dd9f6ed5a648b29e174af5d8599924,cpb-aacip-15-74qjqhcz.mp3
cpb-aacip/15-7634v29m,Significant speaker voice,"Johnson, Lyndon",27,597,886.272979,db99bccadb664bc985e50d3596a938cb,cpb-aacip-15-7634v29m.mp3
cpb-aacip/15-87brvgbk,Significant speaker voice,"Johnson, Lyndon",300,1403,1788.024979,1e070c03c6df45f8b286e051b89c1472,cpb-aacip-15-87brvgbk.mp3
cpb-aacip/15-87brvgbk,Significant speaker voice,"Johnson, Lyndon",1432,1447,1788.024979,1e070c03c6df45f8b286e051b89c1472,cpb-aacip-15-87brvgbk.mp3
cpb-aacip/15-87brvgbk,Significant speaker voice,"Johnson, Lyndon",1489,1579,1788.024979,1e070c03c6df45f8b286e051b89c1472,cpb-aacip-15-87brvgbk.mp3
cpb-aacip/15-36547qsq,Significant speaker voice,"Johnson, Lyndon",5,388,3858.840979,affbb28c325c46f5885645ad8424e238,cpb-aacip-15-36547qsq.mp3
cpb-aacip/15-580k6sx1,Significant speaker voice,"Johnson, Lyndon",48,601,1919.592979,fa3f49227851478885a094f80016497b,cpb-aacip-15-580k6sx1.mp3
cpb-aacip/15-580k6sx1,Significant speaker voice,"Johnson, Lyndon",608,678,1919.592979,fa3f49227851478885a094f80016497b,cpb-aacip-15-580k6sx1.mp3
cpb-aacip/15-580k6sx1,Significant speaker voice,"Johnson, Lyndon",693,782,1919.592979,fa3f49227851478885a094f80016497b,cpb-aacip-15-580k6sx1.mp3
cpb-aacip/15-580k6sx1,Significant speaker voice,"Johnson, Lyndon",797,831,1919.592979,fa3f49227851478885a094f80016497b,cpb-aacip-15-580k6sx1.mp3
cpb-aacip/15-78gf2967,Significant speaker voice,"Johnson, Lyndon",5,907,947.520979,c8f1682a5f634c95a01ac610c6673b73,cpb-aacip-15-78gf2967.mp3
cpb-aacip/15-278sfjf3,Significant speaker voice,"Johnson, Lyndon",5,510,1759.944979,a808d92b1c044605aa42c5fa2f3d92e6,cpb-aacip-15-278sfjf3.mp3
cpb-aacip/15-278sfjf3,Significant speaker voice,"Johnson, Lyndon",541,562,1759.944979,a808d92b1c044605aa42c5fa2f3d92e6,cpb-aacip-15-278sfjf3.mp3
cpb-aacip/15-278sfjf3,Significant speaker voice,"Johnson, Lyndon",573,607,1759.944979,a808d92b1c044605aa42c5fa2f3d92e6,cpb-aacip-15-278sfjf3.mp3
cpb-aacip/15-32r4xvqp,Sound quality,audience clapping,219,244,4079.688979,d16d61caa2b548d295c3b0995b805759,cpb-aacip-15-32r4xvqp.mp3
cpb-aacip/15-32r4xvqp,Significant speaker voice,"Johnson, Lyndon",250,420,4079.688979,d16d61caa2b548d295c3b0995b805759,cpb-aacip-15-32r4xvqp.mp3
cpb-aacip/15-32r4xvqp,Significant speaker voice,"Johnson, Lyndon",613,628,4079.688979,d16d61caa2b548d295c3b0995b805759,cpb-aacip-15-32r4xvqp.mp3
cpb-aacip/15-32r4xvqp,Significant speaker voice,"Johnson, Lyndon",2880,2918,4079.688979,d16d61caa2b548d295c3b0995b805759,cpb-aacip-15-32r4xvqp.mp3
cpb-aacip/15-95w6mt57,Significant speaker voice,"Johnson, Lyndon",280,556,2998.584979,a266385807bb4f188f68e3262db65581,cpb-aacip-15-95w6mt57.mp3
cpb-aacip/15-95w6mt57,Significant speaker voice,"Johnson, Lyndon",571,782,2998.584979,a266385807bb4f188f68e3262db65581,cpb-aacip-15-95w6mt57.mp3
cpb-aacip/15-40ksn9g7,Significant speaker voice,"Johnson, Lyndon",5,796,2056.872979,a9f8a1d645c844e39fb8f588a3d8bc8f,cpb-aacip-15-40ksn9g7.mp3
cpb-aacip/15-40ksn9g7,Significant speaker voice,"Johnson, Lyndon",808,837,2056.872979,a9f8a1d645c844e39fb8f588a3d8bc8f,cpb-aacip-15-40ksn9g7.mp3
cpb-aacip/27-v40js9hs79,Significant speaker voice,"Johnson, Lyndon",16,79,575.880979,d163ed7cbbe7479c916530f53e7ec0a9,cpb-aacip-27-v40js9hs79__WYSO_PA_162_.mp3
cpb-aacip/27-v40js9hs79,Significant speaker voice,"Johnson, Lyndon",92,490,575.880979,d163ed7cbbe7479c916530f53e7ec0a9,cpb-aacip-27-v40js9hs79__WYSO_PA_162_.mp3
cpb-aacip/15-37hqc8h5,Significant speaker voice,"Johnson, Lyndon",105,784,1833.336979,28f28f9896a84e18830e0af71448a52b,cpb-aacip-15-37hqc8h5.mp3
cpb-aacip/15-37hqc8h5,Significant speaker voice,"Johnson, Lyndon",800,877,1833.336979,28f28f9896a84e18830e0af71448a52b,cpb-aacip-15-37hqc8h5.mp3
cpb-aacip/15-57nnp5wrn,Significant speaker voice,"Johnson, Lyndon",5,448,,,
cpb-aacip/15-57nnp5wrn,Significant speaker voice,"Johnson, Lyndon",468,549,,,
cpb-aacip/15-76f1vxx5,Significant speaker voice,"Johnson, Lyndon",7,88,567.552979,e3e2027ee3884f53b765a664ae550ce4,cpb-aacip-15-76f1vxx5.mp3
cpb-aacip/15-76f1vxx5,Significant speaker voice,"Johnson, Lyndon",173,195,567.552979,e3e2027ee3884f53b765a664ae550ce4,cpb-aacip-15-76f1vxx5.mp3
cpb-aacip/15-13zs7r7n,Significant speaker voice,"Johnson, Lyndon",147,225,1697.712979,d14eb6e333af4bfc9627ea7436d604fb,cpb-aacip-15-13zs7r7n.mp3
cpb-aacip/15-13zs7r7n,Significant speaker voice,"Johnson, Lyndon",236,284,1697.712979,d14eb6e333af4bfc9627ea7436d604fb,cpb-aacip-15-13zs7r7n.mp3
cpb-aacip/15-13zs7r7n,Significant speaker voice,"Johnson, Lyndon",295,319,1697.712979,d14eb6e333af4bfc9627ea7436d604fb,cpb-aacip-15-13zs7r7n.mp3
cpb-aacip/15-28nck3m2,Significant speaker voice,"Johnson, Lyndon",7,515,1886.256979,27121af2a5e94746977758a1e84c5527,cpb-aacip-15-28nck3m2.mp3
cpb-aacip/15-28nck3m2,Significant speaker voice,"Johnson, Lyndon",525,637,1886.256979,27121af2a5e94746977758a1e84c5527,cpb-aacip-15-28nck3m2.mp3
cpb-aacip/15-64thtmrz,Significant speaker voice,"Johnson, Lyndon",146,610,3919.560979,cae274c17d7c49f4bab93f7f466441ad,cpb-aacip-15-64thtmrz.mp3
cpb-aacip/15-64thtmrz,Significant speaker voice,"Johnson, Lyndon",623,641,3919.560979,cae274c17d7c49f4bab93f7f466441ad,cpb-aacip-15-64thtmrz.mp3
cpb-aacip/15-64thtmrz,Significant speaker voice,"Johnson, Lyndon",649,1117,3919.560979,cae274c17d7c49f4bab93f7f466441ad,cpb-aacip-15-64thtmrz.mp3
cpb-aacip/15-40ksn9k9,Significant speaker voice,"Johnson, Lyndon",48,88,2479.344979,834640fc4f5a45b281ce170c09d260e3,cpb-aacip-15-40ksn9k9.mp3
cpb-aacip/15-40ksn9k9,Significant speaker voice,"Johnson, Lyndon",97,108,2479.344979,834640fc4f5a45b281ce170c09d260e3,cpb-aacip-15-40ksn9k9.mp3
cpb-aacip/15-40ksn9k9,Significant speaker voice,"Johnson, Lyndon",129,165,2479.344979,834640fc4f5a45b281ce170c09d260e3,cpb-aacip-15-40ksn9k9.mp3
cpb-aacip/15-78gf295j,Sound quality,audience clapping,85,313,7190.904979,d11ab476c2b540948941a4fd288956ff,cpb-aacip-15-78gf295j.mp3
cpb-aacip/15-78gf295j,Significant speaker voice,"Johnson, Lyndon",360,536,7190.904979,d11ab476c2b540948941a4fd288956ff,cpb-aacip-15-78gf295j.mp3
cpb-aacip/15-78gf295j,Significant speaker voice,"Johnson, Lyndon",545,670,7190.904979,d11ab476c2b540948941a4fd288956ff,cpb-aacip-15-78gf295j.mp3
cpb-aacip/15-03cz9354,Significant speaker voice,"Buckley, William F.",1091,1168,5238.432979,44725965ba4846d5843a6750044f4f4e,cpb-aacip-15-03cz9354.mp3
cpb-aacip/15-03cz9354,Significant speaker voice,"Buckley, William F.",1575,1649,5238.432979,44725965ba4846d5843a6750044f4f4e,cpb-aacip-15-03cz9354.mp3
cpb-aacip/15-03cz9354,Significant speaker voice,"Buckley, William F.",2298,2313,5238.432979,44725965ba4846d5843a6750044f4f4e,cpb-aacip-15-03cz9354.mp3
cpb-aacip/15-03cz9354,Significant speaker voice,"Buckley, William F.",3548,3559,5238.432979,44725965ba4846d5843a6750044f4f4e,cpb-aacip-15-03cz9354.mp3
cpb-aacip/15-27mpgfpb,Significant speaker voice,"Johnson, Lyndon",2084,2105,7485.768979,75a57c61652c46779a4489861aed2ba1,cpb-aacip-15-27mpgfpb.mp3
cpb-aacip/15-27mpgfpb,Significant speaker voice,"Johnson, Lyndon",2119,2172,7485.768979,75a57c61652c46779a4489861aed2ba1,cpb-aacip-15-27mpgfpb.mp3
cpb-aacip/15-27mpgfpb,Significant speaker voice,"Johnson, Lyndon",2183,2213,7485.768979,75a57c61652c46779a4489861aed2ba1,cpb-aacip-15-27mpgfpb.mp3
cpb-aacip/15-63stqzdz,Significant speaker voice,"Johnson, Lyndon",651,782,1640.856979,bc6ad4fd329b4270b0c0e4c6d2961253,cpb-aacip-15-63stqzdz.mp3
cpb-aacip/15-63stqzdz,Significant speaker voice,"Johnson, Lyndon",794,887,1640.856979,bc6ad4fd329b4270b0c0e4c6d2961253,cpb-aacip-15-63stqzdz.mp3
cpb-aacip/293-st7dr2ps62,Significant speaker voice,"Johnson, Lyndon",342,387,2535.177868,5ce2dd3681f6466fb3995cdbad100f36,cpb-aacip-293-st7dr2ps62__hut00000084001_.h264.mp4
cpb-aacip/293-st7dr2ps62,Significant speaker voice,"Johnson, Lyndon",391,583,2535.177868,5ce2dd3681f6466fb3995cdbad100f36,cpb-aacip-293-st7dr2ps62__hut00000084001_.h264.mp4
cpb-aacip/75-53wstw8m,Significant speaker voice,"Johnson, Lyndon",388,420,1763.044717,91f1a4baec804a02aa5e798e6e25efa2,cpb-aacip-75-53wstw8m.h264.mp4
cpb-aacip/75-53wstw8m,Significant speaker voice,"Nixon, Richard",1459,1470,1763.044717,91f1a4baec804a02aa5e798e6e25efa2,cpb-aacip-75-53wstw8m.h264.mp4
cpb-aacip/15-5x2599z551,Significant speaker voice,"Johnson, Lyndon",3,38,592.062404,727b628b3e724325aed541e3963cc400,cpb-aacip-15-5x2599z551__306-458R1_.h264.mp4
cpb-aacip/15-5x2599z551,Significant speaker voice,"Johnson, Lyndon",180,243,592.062404,727b628b3e724325aed541e3963cc400,cpb-aacip-15-5x2599z551__306-458R1_.h264.mp4
cpb-aacip/15-251fj29b0d,Significant speaker voice,"Kennedy, John F.",56,75,3534.240000,93fa6ee1f95449e88291b1f8b61e0778,cpb-aacip-15-251fj29b0d__barcode283697_.h264.mp4
cpb-aacip/15-251fj29b0d,Significant speaker voice,"Johnson, Lyndon",80,89,3534.240000,93fa6ee1f95449e88291b1f8b61e0778,cpb-aacip-15-251fj29b0d__barcode283697_.h264.mp4
cpb-aacip/15-251fj29b0d,Significant speaker voice,"Johnson, Lyndon",181,191,3534.240000,93fa6ee1f95449e88291b1f8b61e0778,cpb-aacip-15-251fj29b0d__barcode283697_.h264.mp4
cpb-aacip/15-251fj29b0d,Significant speaker voice,"Johnson, Lyndon",203,230,3534.240000,93fa6ee1f95449e88291b1f8b61e0778,cpb-aacip-15-251fj29b0d__barcode283697_.h264.mp4
cpb-aacip/15-s46h12vk9v,Significant speaker voice,"Johnson, Lyndon",610,622,3514.898000,69b04803f3804ec092aaff7f252774dc,cpb-aacip-15-s46h12vk9v__barcode300112_.h264.mp4
cpb-aacip/15-s46h12vk9v,Significant speaker voice,"Johnson, Lyndon",2177,2190,3514.898000,69b04803f3804ec092aaff7f252774dc,cpb-aacip-15-s46h12vk9v__barcode300112_.h264.mp4
cpb-aacip/15-s46h12vk9v,Significant speaker voice,"Johnson, Lyndon",2308,2324,3514.898000,69b04803f3804ec092aaff7f252774dc,cpb-aacip-15-s46h12vk9v__barcode300112_.h264.mp4
cpb-aacip/15-mk6542jm5k,Significant speaker voice,"King, Martin Luther",101,133,3509.626485,4de52e33a82e42c39e1f58d0181cc3cf,cpb-aacip-15-mk6542jm5k__barcode283693_.h264.mp4
cpb-aacip/15-mk6542jm5k,Significant speaker voice,"King, Martin Luther",503,535,3509.626485,4de52e33a82e42c39e1f58d0181cc3cf,cpb-aacip-15-mk6542jm5k__barcode283693_.h264.mp4
cpb-aacip/15-mk6542jm5k,Significant speaker voice,"Johnson, Lyndon",1071,1095,3509.626485,4de52e33a82e42c39e1f58d0181cc3cf,cpb-aacip-15-mk6542jm5k__barcode283693_.h264.mp4
cpb-aacip/15-mk6542jm5k,Significant speaker voice,"King, Martin Luther",1203,1275,3509.626485,4de52e33a82e42c39e1f58d0181cc3cf,cpb-aacip-15-mk6542jm5k__barcode283693_.h264.mp4
cpb-aacip/15-mk6542jm5k,Significant speaker voice,"Nixon, Richard",2018,2033,3509.626485,4de52e33a82e42c39e1f58d0181cc3cf,cpb-aacip-15-mk6542jm5k__barcode283693_.h264.mp4
cpb-aacip/15-mk6542jm5k,Significant speaker voice,"Nixon, Richard",2072,2093,3509.626485,4de52e33a82e42c39e1f58d0181cc3cf,cpb-aacip-15-mk6542jm5k__barcode283693_.h264.mp4
cpb-aacip/15-mk6542jm5k,Significant speaker voice,"Kissinger, Henry",2176,2203,3509.626485,4de52e33a82e42c39e1f58d0181cc3cf,cpb-aacip-15-mk6542jm5k__barcode283693_.h264.mp4
cpb-aacip/15-mk6542jm5k,Significant speaker voice,"Kissinger, Henry",2488,2517,3509.626485,4de52e33a82e42c39e1f58d0181cc3cf,cpb-aacip-15-mk6542jm5k__barcode283693_.h264.mp4
cpb-aacip/15-mk6542jm5k,Significant speaker voice,"Kissinger, Henry",2931,2972,3509.626485,4de52e33a82e42c39e1f58d0181cc3cf,cpb-aacip-15-mk6542jm5k__barcode283693_.h264.mp4
cpb-aacip/402-16pzgq58,Significant speaker voice,"Johnson, Lyndon",77,94,3311.232979,452c1064dcc442679a0680ddb18f7612,cpb-aacip-402-16pzgq58.mp3
cpb-aacip/402-16pzgq58,Significant speaker voice,"Johnson, Lyndon",102,139,3311.232979,452c1064dcc442679a0680ddb18f7612,cpb-aacip-402-16pzgq58.mp3
cpb-aacip/402-16pzgq58,Significant speaker voice,"Johnson, Lyndon",142,261,3311.232979,452c1064dcc442679a0680ddb18f7612,cpb-aacip-402-16pzgq58.mp3
cpb-aacip/15-23hx3qjc,Sound quality,NPR embedded feed,178,184,4886.304979,6f148b5f937048e08f7e2a2ffa1e6455,cpb-aacip-15-23hx3qjc.mp3
cpb-aacip/15-23hx3qjc,Sound quality,NPR embedded feed,191,193,4886.304979,6f148b5f937048e08f7e2a2ffa1e6455,cpb-aacip-15-23hx3qjc.mp3
cpb-aacip/15-23hx3qjc,Significant speaker voice,"Nixon, Richard",238,1147,4886.304979,6f148b5f937048e08f7e2a2ffa1e6455,cpb-aacip-15-23hx3qjc.mp3
cpb-aacip/15-23hx3qjc,Significant speaker voice,"Nixon, Richard",1407,1461,4886.304979,6f148b5f937048e08f7e2a2ffa1e6455,cpb-aacip-15-23hx3qjc.mp3
cpb-aacip/15-23hx3qjc,Significant speaker voice,"Nixon, Richard",1484,2457,4886.304979,6f148b5f937048e08f7e2a2ffa1e6455,cpb-aacip-15-23hx3qjc.mp3
